OS,Mode,Size_Label,Size_KB,Mean_ms,Median_ms,StdDev_ms,CI95_ms,Throughput_MBs
Windows 11 (MinGW),CTR,16KB,16.0,0.004150833333333333,0.0041465,4.2507673411403834e-05,1.521117557506579e-05,3764.304356554909
Windows 11 (MinGW),CBC,16KB,16.0,0.015111300000000001,0.01495,0.00041443406779815325,0.0001483033265206936,1033.9944280108264
Windows 11 (MinGW),OFB,16KB,16.0,0.015837533333333334,0.015583,0.00046422086994442005,0.00016611930486037745,986.5804018302512
Windows 11 (MinGW),CFB,16KB,16.0,0.015304966666666664,0.0151025,0.0004108468531966738,0.00014701965826154336,1020.9104234137504
Windows 11 (MinGW),XTS,16KB,16.0,0.0125479,0.01251,0.00024497492482518173,8.766315100192444e-05,1245.2282852110711
Windows 11 (MinGW),ECB,16KB,16.0,0.0036894999999999996,0.00367,8.873196757068731e-05,3.1752326804051116e-05,4234.9911912183225
Windows 11 (MinGW),GCM,16KB,16.0,0.0069223333333333316,0.0068555000000000005,0.00025387728957297374,9.084882131376068e-05,2257.186883035586
Windows 11 (MinGW),CCM,16KB,16.0,0.017636733333333328,0.01754,0.000345866720725986,0.00012376681649021524,885.9350371005972
Windows 11 (MinGW),CTR,256KB,256.0,0.0430916,0.042685,0.001376695258393359,0.0004926440712505315,5801.59474236278
Windows 11 (MinGW),CBC,256KB,256.0,0.2189275333333333,0.21834800000000001,0.002243090813008315,0.0008026797387206076,1141.930373916727
Windows 11 (MinGW),OFB,256KB,256.0,0.2564977666666666,0.2291375,0.08275039528426614,0.029611848651245637,974.6673557781467
Windows 11 (MinGW),CFB,256KB,256.0,0.2299327666666667,0.2234105,0.022028863901839037,0.007882927707829026,1087.2743525172502
Windows 11 (MinGW),XTS,256KB,256.0,0.19893513333333332,0.198237,0.0021255861136253175,0.0007606312220701859,1256.6910420046468
Windows 11 (MinGW),ECB,256KB,256.0,0.03934423333333333,0.0389535,0.0008869192197144281,0.0003173799667040156,6354.171344042795
Windows 11 (MinGW),GCM,256KB,256.0,0.08291273333333332,0.0816905,0.003916341369127599,0.0014014447603644103,3015.2184103607733
Windows 11 (MinGW),CCM,256KB,256.0,0.32555206666666675,0.326245,0.07367182520823441,0.026363124072496774,767.9263183912617
Windows 11 (MinGW),CTR,1MB,1024.0,0.17743949999999997,0.1756635,0.005833671971615626,0.0020875527048671502,5635.7237255515265
Windows 11 (MinGW),CBC,1MB,1024.0,0.8928769999999999,0.8875419999999999,0.025831503779633922,0.009243684912065165,1119.9750917539595
Windows 11 (MinGW),OFB,1MB,1024.0,0.9017823333333332,0.9010370000000001,0.006367608874735422,0.0022786195718009503,1108.9150486055948
Windows 11 (MinGW),CFB,1MB,1024.0,0.8786918,0.874203,0.009988863455420455,0.0035744688810702176,1138.0554592634185
Windows 11 (MinGW),XTS,1MB,1024.0,62.75936746666665,0.8141535,338.50808721677794,121.13356330748289,15.933876333778054
Windows 11 (MinGW),ECB,1MB,1024.0,0.15301096666666666,0.15126850000000003,0.005953034059712069,0.0021302658795325593,6535.479265211709
Windows 11 (MinGW),GCM,1MB,1024.0,0.3300967,0.329439,0.004599581781213258,0.0016459392018180583,3029.4153198138606
Windows 11 (MinGW),CCM,1MB,1024.0,1.7908682,2.4400874999999997,0.7326035665759153,0.2621588194266128,558.3883839134561
